Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Small","Diode",26.543000,-32.226250,0.000000,top
"D2","D_Small","Diode",64.643000,-32.226250,0.000000,top
"D3","D_Small","Diode",83.693000,-32.226250,0.000000,top
"D4","D_Small","Diode",102.743000,-32.226250,0.000000,top
"D5","D_Small","Diode",121.793000,-32.226250,0.000000,top
"D6","D_Small","Diode",150.368000,-32.226250,0.000000,top
"D7","D_Small","Diode",169.418000,-32.226250,0.000000,top
"D8","D_Small","Diode",188.468000,-32.226250,0.000000,top
"D9","D_Small","Diode",207.518000,-32.226250,0.000000,top
"D10","D_Small","Diode",236.093000,-32.226250,0.000000,top
"D11","D_Small","Diode",255.143000,-32.226250,0.000000,top
"D12","D_Small","Diode",274.193000,-32.226250,0.000000,top
"D13","D_Small","Diode",293.243000,-32.226250,0.000000,top
"D14","D_Small","Diode",26.543000,-60.801250,0.000000,top
"D15","D_Small","Diode",45.593000,-60.801250,0.000000,top
"D16","D_Small","Diode",64.643000,-60.801250,0.000000,top
"D17","D_Small","Diode",83.693000,-60.801250,0.000000,top
"D18","D_Small","Diode",102.743000,-60.801250,0.000000,top
"D19","D_Small","Diode",121.793000,-60.801250,0.000000,top
"D20","D_Small","Diode",140.843000,-60.801250,0.000000,top
"D21","D_Small","Diode",159.893000,-60.801250,0.000000,top
"D22","D_Small","Diode",178.943000,-60.801250,0.000000,top
"D23","D_Small","Diode",197.993000,-60.801250,0.000000,top
"D24","D_Small","Diode",217.043000,-60.801250,0.000000,top
"D25","D_Small","Diode",236.093000,-60.801250,0.000000,top
"D26","D_Small","Diode",255.143000,-60.801250,0.000000,top
"D27","D_Small","Diode",283.718000,-60.801250,0.000000,top
"D28","D_Small","Diode",321.818000,-60.801250,0.000000,top
"D29","D_Small","Diode",340.868000,-60.801250,0.000000,top
"D30","D_Small","Diode",359.918000,-60.801250,0.000000,top
"D31","D_Small","Diode",31.305500,-79.851250,0.000000,top
"D32","D_Small","Diode",55.118000,-79.851250,0.000000,top
"D33","D_Small","Diode",74.168000,-79.851250,0.000000,top
"D34","D_Small","Diode",93.218000,-79.851250,0.000000,top
"D35","D_Small","Diode",112.268000,-79.851250,0.000000,top
"D36","D_Small","Diode",131.318000,-79.851250,0.000000,top
"D37","D_Small","Diode",150.368000,-79.851250,0.000000,top
"D38","D_Small","Diode",169.418000,-79.851250,0.000000,top
"D39","D_Small","Diode",188.468000,-79.851250,0.000000,top
"D40","D_Small","Diode",207.518000,-79.851250,0.000000,top
"D41","D_Small","Diode",226.568000,-79.851250,0.000000,top
"D42","D_Small","Diode",245.618000,-79.851250,0.000000,top
"D43","D_Small","Diode",264.668000,-79.851250,0.000000,top
"D44","D_Small","Diode",288.480500,-79.851250,0.000000,top
"D45","D_Small","Diode",321.818000,-79.851250,0.000000,top
"D46","D_Small","Diode",340.868000,-79.851250,0.000000,top
"D47","D_Small","Diode",359.918000,-79.851250,0.000000,top
"D48","D_Small","Diode",33.686750,-98.901250,0.000000,top
"D49","D_Small","Diode",59.880500,-98.901250,0.000000,top
"D50","D_Small","Diode",78.930500,-98.901250,0.000000,top
"D51","D_Small","Diode",97.980500,-98.901250,0.000000,top
"D52","D_Small","Diode",117.030500,-98.901250,0.000000,top
"D53","D_Small","Diode",136.080500,-98.901250,0.000000,top
"D54","D_Small","Diode",155.130500,-98.901250,0.000000,top
"D55","D_Small","Diode",174.180500,-98.901250,0.000000,top
"D56","D_Small","Diode",193.230500,-98.901250,0.000000,top
"D57","D_Small","Diode",212.280500,-98.901250,0.000000,top
"D58","D_Small","Diode",231.330500,-98.901250,0.000000,top
"D59","D_Small","Diode",250.380500,-98.901250,0.000000,top
"D60","D_Small","Diode",281.336750,-98.901250,0.000000,top
"D61","D_Small","Diode",38.449250,-117.951250,0.000000,top
"D62","D_Small","Diode",69.405500,-117.951250,0.000000,top
"D63","D_Small","Diode",88.455500,-117.951250,0.000000,top
"D64","D_Small","Diode",107.505500,-117.951250,0.000000,top
