"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX64,MX40,MX19,MX45,MX1,MX16,MX65,MX3,MX14,MX36,MX4,MX58,MX42,MX50,MX47,MX68,MX28,MX71,MX35,MX59,MX15,MX6,MX33,MX39,MX69,MX13,MX56,MX82,MX9,MX66,MX38,MX57,MX55,MX5,MX54,MX52,MX30,MX32,MX7,MX46,MX11,MX53,MX63,MX67,MX2,MX51,MX29,MX83,MX34,MX20,MX25,MX10,MX70,MX43,MX8,MX12,MX84,MX62,MX18,MX73,MX21,MX41,MX24,MX37,MX26,MX22,MX23,MX17,MX49";"MX-Hotswap-1U";69;"MX-NoLED";;;
2;"D53,D15,D7,D42,D41,D83,D9,D62,D39,D54,D19,D4,D6,D75,D81,D52,D30,D25,D63,D82,D66,D35,D12,D1,D50,D32,D5,D70,D76,D74,D21,D59,D2,D78,D14,D10,D46,D57,D27,D18,D16,D36,D61,D73,D23,D3,D45,D64,D26,D11,D71,D79,D56,D28,D20,D60,D13,D77,D34,D47,D58,D29,D55,D22,D49,D86,D51,D43,D80,D44,D31,D48,D68,D17,D40,D84,D37,D38,D24,D8,D67,D69,D72,D33,D65";"Diode";85;"D_Small";;;
3;"MX72";"MX-Hotswap-2.75U";1;"MX-NoLED";;;
4;"MX75,MX79,MX81,MX76,MX78,MX80,MX74";"MX-Hotswap-1.25U";7;"MX-NoLED";;;
5;"R1,R2";"Resistor";2;"R";;;
6;"MX77";"MX-Hotswap-6.25U";1;"MX-NoLED";;;
7;"MX60,MX61";"MX-Hotswap-2.25U";2;"MX-NoLED";;;
8;"MX27";"MX-Hotswap-2U";1;"MX-NoLED";;;
9;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
10;"U1";"RP2040_Stamp_THT";1;"RP2040_Stamp";;;
11;"MX48";"MX-Hotswap-1.75U";1;"MX-NoLED";;;
12;"D85";"LED_3mm";1;"LED";;;
13;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
14;"MX44,MX31";"MX-Hotswap-1.5U";2;"MX-NoLED";;;
